sei_recd,dead_lithium,crate,slope1,slope2,checkpoint
3e-07,0.00025,4.5,-129.00087188651986,-149.0756279149741,500
1.2e-07,0.00075,4.2,-51.709895249718585,-228.3733873682747,700
2.4e-07,0.001,4.8,-103.26266095719294,-208.3272326229624,700
1.2e-07,0.0001,4.8,-51.67628924109824,-92.38121270365164,400
1.8e-07,0.00025,4.5,-77.47514581004644,-144.50380238211213,400
3e-07,0.0001,4.8,-128.96100877148874,-135.38370711059235,400
1.2e-07,0.00025,4.5,-51.685386287081414,-134.06628513994434,500
3e-07,0.00075,4.2,-129.00111642497603,-179.09343929383147,700
1.8e-07,0.00075,4.2,-77.53283074687367,-211.70553060358975,600
1.8e-07,0.0001,4.8,-77.4610724164404,-96.08072861040372,500
1.8e-07,0.0005,4.2,-77.53283074687367,-165.85347467723554,600
3e-07,0.0005,4.2,-129.00111642497603,-156.30332704488214,700
1.2e-07,0.001,4.5,-51.685386287081414,-286.0269492506396,700
2.4e-07,0.0001,4.5,-103.293724847231,-118.13766413169004,400
1.8e-07,0.001,4.5,-77.47514581004644,-256.96008071112163,600
1.2e-07,0.0005,4.2,-51.709895249718585,-169.78948650838709,700
3e-07,0.001,4.5,-129.00087188651986,-201.6998865166375,700
2.4e-07,0.00025,4.8,-103.26266095719294,-137.27025662273462,500
1.2e-07,0.0001,4.5,-51.685386287081414,-92.32922658810594,400
2.4e-07,0.001,4.5,-103.293724847231,-208.31322882073343,700
3e-07,0.00025,4.8,-128.96100877148874,-149.01636183211053,500
1.8e-07,0.00025,4.8,-77.4610724164404,-144.5161105807502,400
2.4e-07,0.0005,4.2,-103.29123168286714,-150.42619946143978,700
1.2e-07,0.00025,4.8,-51.67628924109824,-134.04646780672545,500
3e-07,0.0001,4.5,-129.00087188651986,-135.4090737067715,400
1.8e-07,0.0001,4.5,-77.47514581004644,-96.11505578308588,500
2.4e-07,0.0001,4.8,-103.26266095719294,-118.16117993501685,400
2.4e-07,0.00075,4.2,-103.29123168286714,-179.4508110233073,700
1.2e-07,0.001,4.8,-51.67628924109824,-286.07469745545177,700
1.8e-07,0.001,4.8,-77.4610724164404,-256.96354900668354,600
2.4e-07,0.00025,4.5,-103.293724847231,-137.22292147975156,500
3e-07,0.001,4.8,-128.96100877148874,-201.68954526538215,700
1.8e-07,0.00025,4.5,-77.47514581004644,-111.57315754399822,700
1.2e-07,0.00075,4.2,-51.709895249718585,-349.48375088876827,400
3e-07,0.00025,4.5,-129.00087188651986,-140.36302090483233,600
2.4e-07,0.001,4.8,-103.26266095719294,-303.60507438389476,400
1.2e-07,0.0001,4.8,-51.67628924109824,-74.02507351093047,700
1.8e-07,0.00075,4.2,-77.53283074687367,-240.1200313994156,500
1.8e-07,0.0001,4.8,-77.4610724164404,-91.29666224902968,600
3e-07,0.0001,4.8,-128.96100877148874,-119.5746216225313,700
3e-07,0.00075,4.2,-129.00111642497603,-243.1695879688167,400
1.2e-07,0.00025,4.5,-51.685386287081414,-120.435506750316,600
3e-07,0.0005,4.2,-129.00111642497603,-202.1164598223768,400
1.2e-07,0.001,4.5,-51.685386287081414,-439.6466240815355,400
2.4e-07,0.0001,4.5,-103.293724847231,-103.400730173564,700
1.8e-07,0.0005,4.2,-77.53283074687367,-185.44322351325968,500
1.2e-07,0.0005,4.2,-51.709895249718585,-252.7363981905673,400
3e-07,0.001,4.5,-129.00087188651986,-283.7974924659426,400
2.4e-07,0.00025,4.8,-103.26266095719294,-128.1444228421025,600
1.8e-07,0.001,4.5,-77.47514581004644,-294.0052054756448,500
1.8e-07,0.00025,4.8,-77.4610724164404,-111.5557733969208,700
1.2e-07,0.0001,4.5,-51.685386287081414,-74.01556262025544,700
2.4e-07,0.001,4.5,-103.293724847231,-303.59949310592157,400
3e-07,0.00025,4.8,-128.96100877148874,-140.35617696683823,600
1.8e-07,0.0001,4.5,-77.47514581004644,-91.29066472413072,600
2.4e-07,0.0005,4.2,-103.29123168286714,-201.7527435562716,400
1.2e-07,0.00025,4.8,-51.67628924109824,-120.43759337303506,600
3e-07,0.0001,4.5,-129.00087188651986,-119.56917310602664,700
2.4e-07,0.0001,4.8,-103.26266095719294,-103.36725597630549,700
2.4e-07,0.00075,4.2,-103.29123168286714,-253.0149235087542,400
1.2e-07,0.001,4.8,-51.67628924109824,-439.680735482173,400
2.4e-07,0.00025,4.5,-103.293724847231,-128.15153191860773,600
3e-07,0.001,4.8,-128.96100877148874,-283.8179683128051,400
1.8e-07,0.001,4.8,-77.4610724164404,-294.03317463261305,500
1.8e-07,0.001,4.2,-77.53283074687367,-293.99773710097054,500
1.2e-07,0.0005,4.5,-51.685386287081414,-252.71949326279855,400
3e-07,0.001,4.2,-129.00111642497603,-283.776888954157,400
1.8e-07,0.0005,4.5,-77.47514581004644,-185.39258755532197,500
3e-07,0.0005,4.5,-129.00087188651986,-202.12569787350088,400
1.2e-07,0.001,4.2,-51.709895249718585,-439.59954959054136,400
2.4e-07,0.00075,4.8,-103.26266095719294,-253.05556864845255,400
2.4e-07,0.0001,4.2,-103.29123168286714,-103.37064004117823,700
3e-07,0.00075,4.5,-129.00087188651986,-243.21243697420505,400
1.2e-07,0.00025,4.2,-51.709895249718585,-120.4342804407954,600
2.4e-07,0.0005,4.8,-103.26266095719294,-201.76529821207544,400
1.8e-07,0.00075,4.5,-77.47514581004644,-240.09583658073373,500
1.2e-07,0.00075,4.5,-51.685386287081414,-349.5527387501251,400
3e-07,0.00025,4.2,-129.00111642497603,-140.38739413224644,600
1.8e-07,0.00025,4.2,-77.53283074687367,-111.52457930636572,700
2.4e-07,0.00025,4.2,-103.29123168286714,-128.1737533205929,600
1.2e-07,0.0005,4.8,-51.67628924109824,-252.7561461283856,400
1.8e-07,0.0005,4.8,-77.4610724164404,-185.41054699967583,500
2.4e-07,0.00075,4.5,-103.293724847231,-253.0486787377884,400
3e-07,0.0005,4.8,-128.96100877148874,-202.136479737014,400
2.4e-07,0.0005,4.5,-103.293724847231,-201.73976075923417,400
3e-07,0.00075,4.8,-128.96100877148874,-243.18765855091408,400
3e-07,0.0001,4.2,-129.00111642497603,-119.55335911046916,700
1.8e-07,0.0001,4.2,-77.53283074687367,-91.29531137979096,600
1.8e-07,0.00075,4.8,-77.4610724164404,-240.1385375882637,500
1.2e-07,0.0001,4.2,-51.709895249718585,-74.02052166127771,700
2.4e-07,0.001,4.2,-103.29123168286714,-303.58476007914527,400
1.2e-07,0.00075,4.8,-51.67628924109824,-349.5679472741653,400
1.2e-07,0.0005,4.5,-51.685386287081414,-169.79860282329008,700
3e-07,0.001,4.2,-129.00111642497603,-201.68504342745752,700
1.8e-07,0.001,4.2,-77.53283074687367,-256.9041860853716,600
3e-07,0.0005,4.5,-129.00087188651986,-156.31189260472132,700
1.2e-07,0.001,4.2,-51.709895249718585,-286.0035255637827,700
2.4e-07,0.00075,4.8,-103.26266095719294,-179.5209818943988,700
2.4e-07,0.0001,4.2,-103.29123168286714,-118.19039108165174,400
1.8e-07,0.0005,4.5,-77.47514581004644,-165.88517135252002,600
1.8e-07,0.00075,4.5,-77.47514581004644,-211.71801503865328,600
1.2e-07,0.00025,4.2,-51.709895249718585,-134.09547310572202,500
3e-07,0.00075,4.5,-129.00087188651986,-179.1055442412981,700
2.4e-07,0.0005,4.8,-103.26266095719294,-150.42221912315858,700
1.8e-07,0.00025,4.2,-77.53283074687367,-144.53423497389204,400
3e-07,0.00025,4.2,-129.00111642497603,-149.0795432661951,500
1.2e-07,0.00075,4.5,-51.685386287081414,-228.3772856645605,700
2.4e-07,0.00025,4.2,-103.29123168286714,-137.27265951537504,500
1.2e-07,0.0005,4.8,-51.67628924109824,-169.83320218619812,700
2.4e-07,0.00075,4.5,-103.293724847231,-179.4703354331961,700
3e-07,0.0005,4.8,-128.96100877148874,-156.33506346017788,700
1.8e-07,0.0005,4.8,-77.4610724164404,-165.90381423720046,600
1.8e-07,0.0001,4.2,-77.53283074687367,-96.12288264371216,500
1.8e-07,0.00075,4.8,-77.4610724164404,-211.74058433222064,600
2.4e-07,0.0005,4.5,-103.293724847231,-150.42389731074746,700
3e-07,0.00075,4.8,-128.96100877148874,-179.09270785343435,700
3e-07,0.0001,4.2,-129.00111642497603,-135.37195653370304,400
1.2e-07,0.0001,4.2,-51.709895249718585,-92.37765979359658,400
2.4e-07,0.001,4.2,-103.29123168286714,-208.32085356798925,700
1.2e-07,0.00075,4.8,-51.67628924109824,-228.4043747825315,700
2.4e-07,0.00025,4.8,-103.26266095719294,-149.76275807190297,400
1.2e-07,0.0005,4.2,-51.709895249718585,-189.3790384528415,600
3e-07,0.001,4.5,-129.00087188651986,-221.2192791283929,600
1.8e-07,0.001,4.5,-77.47514581004644,-229.3734091453503,700
3e-07,0.0005,4.2,-129.00111642497603,-167.55133839834178,600
1.2e-07,0.001,4.5,-51.685386287081414,-323.4516827093304,600
2.4e-07,0.0001,4.5,-103.293724847231,-112.0333747033353,500
1.8e-07,0.0005,4.2,-77.53283074687367,-151.27196717827917,700
1.8e-07,0.00075,4.2,-77.53283074687367,-190.54580187138905,700
1.8e-07,0.0001,4.8,-77.4610724164404,-102.6773694570826,400
3e-07,0.0001,4.8,-128.96100877148874,-129.082298860661,500
3e-07,0.00075,4.2,-129.00111642497603,-194.49540547384905,600
1.2e-07,0.00025,4.5,-51.685386287081414,-153.33671882196143,400
1.8e-07,0.00025,4.5,-77.47514581004644,-129.83558690260466,500
2.4e-07,0.001,4.8,-103.26266095719294,-230.7323536164585,600
1.2e-07,0.00075,4.2,-51.709895249718585,-256.999733683716,600
3e-07,0.00025,4.5,-129.00087188651986,-160.56663585968246,400
1.2e-07,0.0001,4.8,-51.67628924109824,-84.2565716914434,500
3e-07,0.001,4.8,-128.96100877148874,-221.2218319053161,600
2.4e-07,0.00025,4.5,-103.293724847231,-149.7019854327597,400
1.8e-07,0.001,4.8,-77.4610724164404,-229.3690813322424,700
